id,title,company,sector,location,duration_months,stipend,description,required_skills,education_requirement,application_deadline
INT021,Chemical Engineering Intern,ChemTech Industries,Chemical,Chennai,6,16000,Work on chemical process optimization and quality control in manufacturing.,"Chemical Engineering,Process Control,Quality Assurance,Laboratory Skills",Undergraduate,2024-03-29
INT022,Event Management Intern,EventCraft Planners,Events,Delhi,3,10000,Plan and coordinate various corporate and social events from concept to execution.,"Event Planning,Organization,Communication,Vendor Management",Diploma,2024-04-22
INT023,Agriculture Technology Intern,FarmTech Solutions,Agriculture,Bangalore,5,12000,Develop technology solutions for modern farming and agricultural practices.,"Agriculture,Technology,Data Analysis,IoT,Environmental Science",Graduate,2024-04-07
INT024,Interior Design Intern,SpaceDesign Studio,Design,Mumbai,4,11000,Create interior design concepts and space planning for residential and commercial projects.,"AutoCAD,3D Modeling,Creative Design,Space Planning",Diploma,2024-04-16
INT025,Cybersecurity Intern,SecureNet Solutions,Technology,Hyderabad,6,18000,Learn cybersecurity fundamentals and assist with security audits and implementations.,"Cybersecurity,Network Security,Ethical Hacking,Information Security",Graduate,2024-03-31
INT026,Food Technology Intern,NutriFood Labs,Food Technology,Pune,5,13000,Research and develop food products while ensuring quality and safety standards.,"Food Science,Quality Control,Research,Laboratory Skills",Graduate,2024-04-11
INT027,Renewable Energy Intern,SolarPower Innovations,Renewable Energy,Chennai,6,15000,Work on solar energy projects and sustainable power solutions development.,"Renewable Energy,Solar Technology,Engineering,Sustainability",Undergraduate,2024-04-03
INT028,Psychology Intern,MindCare Wellness,Healthcare,Delhi,4,10000,Provide support in psychological assessment and counseling under supervision.,"Psychology,Counseling,Communication,Empathy,Research",Graduate,2024-04-19
INT029,Architecture Intern,UrbanDesign Architects,Architecture,Mumbai,5,14000,Assist in architectural design projects and learn about building planning processes.,"AutoCAD,Architecture,3D Modeling,Building Design,Construction Knowledge",Undergraduate,2024-04-09
INT030,Textile Design Intern,FabricCraft Industries,Textile,Bangalore,4,11000,Create innovative textile designs and learn about fabric production processes.,"Textile Design,Creative Design,Fashion Design,Pattern Making",Diploma,2024-04-17
